id,question,price_lookup_params,price_lookup_method,parent_market,url,marketplace_id
138,Will Trump shock the world and snag the Nobel Peace Prize in 2025?,"{'marketId': 161, 'marketplaceId': 2}",canibeton-lmsr,59,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-trump-shock-the-world-and-snag-the-nobel-peace-prize-in-2025,2
139,Will the orange man become a peace dove in 2025?,"{'marketId': 156, 'marketplaceId': 3}",canibeton-lmsr,59,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-orange-man-become-a-peace-dove-in-2025,3
140,Will Trump's 2025 end with a Nobel Peace Prize victory?,"{'marketId': 16, 'marketplaceId': 5}",canibeton-lmsr,59,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-trumps-2025-end-with-a-nobel-peace-prize-victory,5
141,Will Bey finally say bye to Jay in 2025?,"{'marketId': 157, 'marketplaceId': 3}",canibeton-lmsr,60,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-bey-finally-say-bye-to-jay-in-2025,3
142,Will the throne get divided in 2025?,"{'marketId': 17, 'marketplaceId': 4}",canibeton-lmsr,60,https://localhost:3005/degen-execution-chamber/getMarketData/will-the-throne-get-divided-in-2025,4
143,Will the orange menace snag a Nobel Peace Prize in 2025?,"{'marketId': 167, 'marketplaceId': 2}",canibeton-lmsr,61,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-orange-menace-snag-a-nobel-peace-prize-in-2025,2
144,Will the Nobel Committee crown Trump with a Peace Prize in 2025?,"{'marketId': 162, 'marketplaceId': 3}",canibeton-lmsr,61,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-nobel-committee-crown-trump-with-a-peace-prize-in-2025,3
145,Will hell freeze over and Trump win the 2025 Nobel Peace Prize?,"{'marketId': 21, 'marketplaceId': 4}",canibeton-lmsr,61,https://localhost:3005/degen-execution-chamber/getMarketData/will-hell-freeze-over-and-trump-win-the-2025-nobel-peace-prize,4
146,Will Trump shock the world with a 2025 Nobel Peace Prize win?,"{'marketId': 22, 'marketplaceId': 5}",canibeton-lmsr,61,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-trump-shock-the-world-with-a-2025-nobel-peace-prize-win,5
147,Will 2025 be the year Beyoncé finally dumps Jay-Z?,"{'marketId': 22, 'marketplaceId': 4}",canibeton-lmsr,62,https://localhost:3005/degen-execution-chamber/getMarketData/will-2025-be-the-year-beyonc-finally-dumps-jayz,4
148,Will the Carters sign divorce papers in 2025?,"{'marketId': 23, 'marketplaceId': 5}",canibeton-lmsr,62,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-carters-sign-divorce-papers-in-2025,5
149,Can big pharma save us from bird flu with an FDA-approved vaccine in 2025?,"{'marketId': 23, 'marketplaceId': 4}",canibeton-lmsr,63,https://localhost:3005/degen-execution-chamber/getMarketData/can-big-pharma-save-us-from-bird-flu-with-an-fdaapproved-vaccine-in-2025,4
150,Will the Trump-Melania marriage survive 2025?,"{'marketId': 168, 'marketplaceId': 2}",canibeton-lmsr,64,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-trumpmelania-marriage-survive-2025,2
151,Will the Trump power couple announce their split in 2025?,"{'marketId': 163, 'marketplaceId': 3}",canibeton-lmsr,64,https://localhost:3005/terminal-degeneracy-labs/getMarketData/will-the-trump-power-couple-announce-their-split-in-2025,3
152,Will the Trump marriage meet its maker in 2025?,"{'marketId': 24, 'marketplaceId': 5}",canibeton-lmsr,64,https://localhost:3005/nihilistic-prophet-syndicate/getMarketData/will-the-trump-marriage-meet-its-maker-in-2025,5
153,Will the royal fairytale end with Harry and Meghan's divorce announcement in 2025?,"{'marketId': 169, 'marketplaceId': 2}",canibeton-lmsr,65,https://localhost:3005/slaughterhouse-predictions/getMarketData/will-the-royal-fairytale-end-with-harry-and-meghans-divorce-announcement-in-2025,2
